category,app_count,developer_count,review_count,reviews_per_app,avg_rating,one_star_rate_pct,reply_rate_pct,monthly_plan_count,median_monthly_price,free_entry_share_pct,top_app_review_share_pct,demand_score,competition_score,customer_gap_score,service_gap_final_score,monetization_final_score,pricing_pressure_final_score,concentration_final_score,opportunity_score
Checkout analytics,123,115,14039,114.14,3.42,1.94,30.35,228,49.0,18.79,19.49,6.893612838953964,94.01320468379879,28.798574214433003,69.50041402152911,30.560377751545033,84.755343578873,73.73382329445599,45.74431539793597
Address validation,153,140,23463,153.35,3.86,3.52,16.56,217,29.0,29.68,22.23,10.18397083499412,91.96264272874399,26.246653069104163,88.53160364338946,16.672453301854038,65.5184596361067,69.35612717686531,44.28560956858382
Electronics,126,121,60815,482.66,3.29,2.71,56.52,116,39.99,44.02,16.18,31.390748397256587,93.66947970857856,34.10302251991371,33.38393596467016,24.30386778695924,40.18724606959901,79.02220802045056,46.34663401402598
Email responses,54,52,10510,194.63,3.93,2.48,35.41,114,19.99,20.28,18.12,10.130275233262442,98.94740526283368,21.089511690826118,62.51725089704665,10.415943337268246,82.12329977035859,75.92267135325132,42.256367345522975
Games,69,69,32866,476.32,4.13,1.13,15.48,144,24.99,21.05,30.31,26.794916559070174,97.74383585424448,12.32034290478629,90.02208114821971,13.887924449690994,80.7631160572337,56.44671672791181,46.6574533131066
Grid layout,102,92,91321,895.3,4.3,1.16,28.02,177,15.0,28.05,10.83,55.457433997077466,95.66650613474602,9.198779017226382,72.71598123102402,6.950906187070342,68.39780957428016,87.56989934494328,50.95003502678797
Automatic,147,117,18575,126.36,3.59,3.84,20.59,291,49.0,17.37,10.66,8.164966458696243,93.08590884400218,32.55706919368693,82.96991443555065,30.560377751545033,87.26373432255785,87.84150822815147,48.80614745603417
Keyword analysis,70,68,38572,551.03,4.39,1.77,30.72,131,29.99,27.57,23.42,31.18038729283176,97.74811981654562,9.732049678666664,68.98978746894838,17.35990556211374,69.24571630453983,67.45486499440806,45.62912436840969
Reviews,115,99,52753,458.72,4.48,1.51,38.64,192,24.99,28.78,18.14,29.026841386504756,94.92980461771936,7.064437337899424,58.0596191001932,13.887924449690994,67.10828475534358,75.89071736699154,42.69465942133967
Hardware,80,76,47553,594.41,3.54,2.5,64.69,93,39.99,36.05,20.69,34.59841887072447,97.07780571530971,28.577543877319766,22.10874965498205,24.30386778695924,54.26603073661897,71.81658411886883,45.9412605125235
Custom branding,246,231,47276,192.18,4.22,1.78,28.48,442,29.0,22.53,8.35,15.669300100679838,85.07103537488871,13.000780600810824,72.08114821970742,16.672453301854038,78.14873697226639,91.53219364115674,41.72471756822987
Shipping,710,619,58793,82.81,2.81,3.07,21.2,586,24.99,39.8,16.94,12.30502638462817,53.302850934911774,44.55300111634309,82.12807065967431,13.887924449690994,47.64175940646529,77.8079565425787,39.215908537281294
Stock alerts,156,148,25303,162.2,3.61,2.04,27.59,267,14.99,26.45,9.17,10.882483026608144,91.53967845082963,25.55432450051341,73.30941208942865,6.943962224845497,71.22416534181241,90.22208020450552,42.58426916690623
Workflow automation,269,253,14552,54.1,3.19,4.09,34.02,452,24.99,21.03,14.29,4.153354666712993,83.38668219719666,41.0814258974811,64.43555064863372,13.887924449690994,80.79844550432786,82.04185972200032,42.60071927924723
Conditional logic,179,166,36738,205.24,4.12,2.72,32.18,369,20.0,23.08,10.72,14.66193873182879,90.01380387852586,18.360346597951413,66.97488269390007,10.422887299493091,77.17717717717719,87.7456462693721,41.84737731489408
SMS,76,73,20759,273.14,4.13,2.35,20.55,164,37.0,23.5,22.86,15.392818946407857,97.33800742553466,16.80893745960601,83.02511730609992,22.227623081730435,76.43525878819996,68.34957660968206,45.55349067639376
Benchmarking,61,60,3626,59.44,3.9,1.71,48.18,119,80.0,19.33,15.44,2.723835708337775,98.38309822873558,18.826888480402445,44.89373447419266,52.086660648566074,83.80144850733086,80.20450551206262,44.6256265145859
Operations - Other,61,60,1556,25.51,2.71,2.06,16.9,73,20.0,24.24,48.97,0.8123333475510309,98.38309822873558,42.73817417750135,88.06237924372067,10.422887299493091,75.1280692457163,26.633647547531552,43.885094677093576
Slider,54,48,6307,116.8,4.04,2.47,27.92,83,9.97,25.66,28.32,5.8294453931089585,99.10588386822195,18.96146517932835,72.85398840739718,3.4580931879730583,72.61967850203145,59.62613836076051,39.48723481986258
Browse abandonment,60,58,39250,654.17,3.39,2.83,11.3,85,49.0,31.54,25.37,36.12754374461962,98.49767322047566,32.64338293925582,95.79078112061828,30.560377751545033,62.23282105635047,64.33935133407893,55.75184056241626
Product pages,202,178,65331,323.42,3.9,1.24,29.07,285,19.95,25.63,15.25,24.608202732296384,88.7256472143045,17.09767582403747,71.2669058791057,10.388167488368863,72.67267267267268,80.50806838153059,43.66066805461856
"Buy more,  save more",52,49,7538,144.96,4.19,1.87,43.79,103,19.99,21.37,12.99,7.340994410420969,99.13693559496676,13.902248633948574,50.95224951697488,10.415943337268246,80.19784490372726,84.1188688288864,39.31653758730672
Products,180,164,15159,84.22,3.43,4.97,23.48,324,19.0,26.29,13.15,5.660972650820211,90.05770749217407,39.7563630157491,78.98150703836599,9.728491077008542,71.50680091856563,83.86323693880811,44.50398352254626
Videos,142,127,47698,335.9,4.35,2.15,42.03,250,19.99,27.3,20.06,22.482502359854553,92.86639077576118,11.890592780981324,53.3811758211427,10.415943337268246,69.7226638403109,72.82313468605209,40.5998213103348
Elements,65,60,29888,459.82,3.93,0.98,43.2,106,19.0,30.13,33.3,25.562194760238913,98.24175547255184,15.570747893916625,51.76649185757658,9.728491077008542,64.72354707648825,51.66959578207383,41.608629353590466
Borders,65,55,29516,454.09,4.1,0.82,17.91,72,7.0,31.78,33.75,25.235937245697958,98.4398537292872,11.750140592081529,86.66850676235164,1.3957364071939447,61.808867691220634,50.95063109122863,42.86116925213496
Search and navigation - Other,55,54,3323,60.42,3.3,2.83,52.6,82,19.99,20.19,38.97,2.7232542577522527,98.83283027109361,34.354409555225416,38.79381727849848,10.415943337268246,82.28228228228228,42.610640677424506,39.0046809061273
Out of stock,67,67,17422,260.03,4.17,1.96,28.1,136,15.0,24.44,13.32,14.264064146117537,97.89374653503049,14.613602598645281,72.60557548992547,6.950906187070342,74.77477477477477,83.59162805559994,42.28899948183637
Alert settings,58,54,10600,182.76,3.72,1.5,16.65,100,9.99,28.06,21.89,9.586765631424901,98.7268232039558,21.476314780774274,88.4073971846536,3.4719811124227484,68.38014485073309,69.89934494328168,42.71283037983176
Embedded videos,67,65,6023,89.9,4.19,2.36,31.81,120,49.0,24.69,20.82,4.522693584629318,97.97298583772462,15.705044807605674,67.48550924648082,30.560377751545033,74.33315668609787,71.60888320818023,42.495989107317136
Reels,59,53,7590,128.64,4.37,2.13,46.23,96,39.0,26.15,23.53,6.582693319199152,98.73110716625693,11.436781126807066,47.5848744134695,23.616415526699537,71.7541070482247,67.27911806997923,38.93186201467467
Metafields,170,157,25646,150.86,3.6,3.57,17.46,328,19.9,21.6,25.01,10.402766958850005,90.68840194206291,31.37357764180215,87.28953905603092,10.353447677244636,79.7915562621445,64.91452308675507,44.53036268112028
Campaigns,225,204,83681,371.92,4.07,1.69,17.14,396,29.99,24.58,11.9,29.707454223431718,86.8828154312242,15.521365799612214,87.73116202042506,17.35990556211374,74.5274686451157,85.86036108004473,47.3041933246428
Review summaries,71,68,60151,847.2,3.94,1.18,19.95,113,12.99,29.17,16.44,48.40543916915615,97.71278412749967,16.11646899839683,83.85316036433895,5.5551697798763975,66.41936053700759,78.60680619907333,51.33711025768774
Coupons,238,227,72855,306.11,3.74,1.41,31.75,433,29.99,23.43,13.57,24.952499021363828,85.51219949264447,20.764960816077576,67.56831355230472,17.35990556211374,76.5589118530295,83.19220322735262,44.84192976065201
Logos,59,51,9526,161.46,4.13,3.01,29.86,117,19.0,24.52,15.56,8.421468947396166,98.81034646895108,19.237193530246188,70.17664918575765,9.728491077008542,74.63345698639816,80.0127815945039,41.92412574586065
Global sections,55,54,30146,548.11,3.86,1.29,41.83,85,19.0,30.16,33.02,29.74748670544942,98.83283027109361,18.04209089103205,53.65719017388904,9.728491077008542,64.67055290584702,52.116951589710816,43.476223812505566
Checkout discounts,189,173,25842,136.73,3.59,2.16,29.72,325,25.0,22.25,9.04,9.769441342920379,89.38310942863703,26.376053741148297,70.3698592326801,13.894868411915839,78.64334923158452,90.42978111519412,43.16906567208148
Orders - Other,189,180,5741,30.38,2.18,8.22,17.94,199,24.99,26.35,15.62,1.6845926027661604,89.10577186920756,75.47794313085276,86.62710460943968,13.887924449690994,71.40081257728316,79.91691963572455,51.6496768897516
Product feeds,164,145,28870,176.04,3.38,5.65,17.96,273,20.0,19.35,31.52,12.080885209225965,91.37585189250335,43.20877294588674,86.59950317416505,10.422887299493091,83.7661190602367,54.51350055919477,47.07451066329655
Custom filters,52,52,11213,215.63,3.85,2.99,31.62,123,39.99,19.61,17.43,11.224431281603234,99.01807664092556,24.486803929303864,67.74772288158984,24.30386778695924,83.30683624801271,77.02508387921394,45.94403239701089
Packing slips,155,140,17887,115.4,3.8,4.81,25.38,222,24.45,30.19,8.29,7.544540660558496,91.89197135065211,32.13347434509271,76.35937068727574,13.512950489549338,64.61755873520579,91.62805559993609,44.166384663205655
Scheduled,107,99,28112,262.73,3.88,1.73,17.81,208,49.0,18.85,35.44,16.034804232868552,95.21249013008685,19.2807001345767,86.80651393872482,30.560377751545033,84.64935523759053,48.250519252276725,46.81704089224745
Return labels,97,87,14303,147.45,3.74,4.0,22.67,127,39.0,34.54,31.75,8.49826747756312,96.04128283671105,30.294026305407964,80.09936516698868,23.616415526699537,56.93340399222752,54.14602971720722,44.49799922899012
Points,109,109,24620,225.87,3.54,1.92,47.47,190,60.0,23.32,26.53,13.767042670760528,94.7456222385243,26.443621875848095,45.873585426442176,38.198736198875075,76.75322381204734,62.486020131011344,44.95874066019303
Multi-announcement,51,49,29336,575.22,4.03,0.67,13.73,65,9.0,31.96,33.38,30.89585805146158,99.17227128401271,12.529062691478021,92.4372067347502,2.7845288521630445,61.490902667373255,51.54177983703467,45.37726543448342
Speed optimization,72,69,49111,682.1,4.34,1.96,28.41,133,29.0,24.72,18.39,38.955458745276346,97.63782878710668,11.381663435147184,72.17775324316864,16.672453301854038,74.28016251545662,75.4912925387442,48.74997920307487
Back-in-stock emails,60,58,39446,657.43,3.65,2.74,11.54,91,49.0,32.14,25.25,36.310757392067345,98.49767322047566,27.369291331973585,95.45956389732267,30.560377751545033,61.17293764352588,64.53107525163765,54.66629595572888
Event booking,64,62,8842,138.16,3.44,1.66,24.01,109,20.0,23.81,23.39,7.22223939896416,98.19785185890365,27.3881768354611,78.25006900358818,10.422887299493091,75.88765235824059,67.50279597379773,43.480728000498694
Tracking sync,57,46,11555,202.72,4.28,6.52,36.59,99,49.0,23.48,17.26,10.670842817834899,99.07911610377829,29.29938978839842,60.88876621584321,30.560377751545033,76.47058823529412,77.29669276242211,46.704709217095946
Store locator,60,59,2332,38.87,3.04,2.87,24.4,118,13.74,22.08,25.47,1.5589831057928756,98.4580535691286,39.444542369277336,77.71184101573282,6.07596694673981,78.94364953188483,64.17958140278,43.809005654446906
Pet products,166,160,79979,481.8,3.58,3.18,56.72,154,39.39,44.44,12.3,34.297505407377656,90.71088574420546,30.318927191487813,33.107921611923814,23.887230053468507,39.4453276806218,85.22128135484903,45.90754605996927
Wishlists,89,86,8942,100.47,3.54,2.09,33.56,139,15.0,17.92,24.89,5.467901703437441,96.3635880004256,27.069081772831172,65.07038365995031,6.950906187070342,86.29217452746865,65.10624700431379,41.17310475115542
Testing,58,56,19044,328.34,4.3,1.65,10.39,97,19.9,21.88,51.94,17.72096749134772,98.64758390126167,11.001575190883484,97.04664642561413,10.353447677244636,79.29694400282636,21.888480587953353,42.67702671495306
Inventory planning,69,62,6158,89.25,3.93,1.72,24.23,137,39.99,17.37,33.76,4.512934130880389,98.02117341367396,18.293338033725306,77.9464532155672,24.30386778695924,87.26373432255785,50.93465409809875,42.741280732833395
Delivery dates,96,88,24708,257.38,3.66,2.91,25.37,132,30.0,31.96,19.21,15.26011297686316,96.0369988744099,27.804637160515583,76.37317140491305,17.366849524338587,61.490902667373255,74.18117910209298,45.609304108816296
Newsletters,173,160,90280,521.85,3.85,2.09,14.23,315,29.99,25.97,11.03,37.76217475206293,90.46353592088388,21.175545651158167,91.74717085288435,17.35990556211374,72.07207207207207,87.25035948234543,51.513184499750515
Fulfillment,66,65,2827,42.83,2.27,14.11,34.95,33,29.9,51.43,28.97,1.8210466724871115,98.00832152677057,95.43726235741445,63.152083908363224,17.29740990209013,27.097685921215344,58.58763380731747,52.338464307535276
Custom style,130,111,19084,146.8,4.08,2.14,45.24,213,12.99,23.32,9.36,9.202993658746788,93.9243334658655,16.986880870244,48.9511454595639,5.5551697798763975,76.75322381204734,89.91851733503755,38.54496835220069
Optimization suggestions,111,108,40567,365.47,4.23,1.32,46.84,225,40.0,24.92,24.53,22.774306148598065,94.7145705117795,11.118245634650837,46.743030637593144,24.310811749184086,73.9268680445151,65.68141875698993,42.16147893264777
Orders,226,193,27564,121.96,3.64,4.56,24.59,416,39.0,20.71,7.23,9.340740910697583,87.28329590699602,34.255505473998156,77.44962738062378,23.616415526699537,81.3637166578343,93.32161687170475,46.66463724741749
Social media,211,187,67089,317.96,3.81,3.6,20.57,332,29.0,26.25,14.85,24.622185231308592,88.05104915076748,27.491557480477987,82.99751587082528,16.672453301854038,71.57745981275393,81.14714810672632,47.7009176124109
Analytics dashboard,258,243,26621,103.18,3.36,1.77,39.78,467,49.0,18.47,20.33,8.313915490139408,84.17157129017264,29.313798728096316,56.48633728953905,30.560377751545033,85.32061473237944,72.39175587154499,42.89386179807053
Multi-select,57,57,23304,408.84,4.04,3.0,28.3,99,19.9,26.67,16.89,22.15593167599589,98.64329993896054,20.911428387569707,72.32956113717913,10.353447677244636,70.83554142377672,77.88784150822815,45.672070996209875
Custom rewards,101,101,32010,316.93,3.8,1.72,54.66,197,79.0,22.78,20.4,19.17919408776451,95.34526496166833,20.764820923459155,35.950869445211154,51.392264426081525,77.70711888358947,72.27991691963572,46.820094097561224
Image editor,154,135,39408,255.9,3.16,1.88,25.98,211,19.0,30.77,22.92,17.451261434490064,92.1254052964334,33.5207894420243,75.53132762903671,9.728491077008542,63.59300476947536,68.25371465090271,45.096796701787916
Donations,113,113,17854,158.0,3.42,1.82,56.74,104,38.0,41.21,36.58,9.539728697193668,94.44580087695229,28.357073110680243,33.08032017664918,22.922019304214984,45.1510333863275,46.42914203546893,38.27085065621191
Bulk edit,89,82,7549,84.82,3.51,3.82,28.24,184,15.99,23.89,25.82,4.518840658537674,96.52206660581388,34.00439822392332,72.41236544300304,7.638358447330047,75.74633456986398,63.62038664323374,42.59032950263656
Barcodes,133,103,22328,167.88,3.99,3.17,25.45,275,29.0,19.48,8.87,10.69167404152352,94.13528360950423,22.487458626758098,76.26276566381452,16.672453301854038,83.53647765412471,90.7013899984023,44.836504901919255
BOGO,164,153,58299,355.48,4.07,1.49,27.53,291,24.99,23.16,15.44,25.032148025017882,91.0588946817268,14.785530626690948,73.39221639525255,13.887924449690994,77.03585938880056,80.20450551206262,44.71135061996008
AI chatbots,126,124,6022,47.79,3.18,3.35,45.27,276,69.0,21.91,30.9,2.545284573477228,93.55062075453736,38.54894982611347,48.90974330665194,44.44830220123603,79.24394983218512,55.504074133248125,45.35185611862174
Page indexing,72,66,42934,596.31,4.45,1.74,28.3,122,19.45,24.39,21.04,33.97729903938689,97.75668774114789,8.48098999208208,72.32956113717913,10.040969377126588,74.86309839251015,71.25738935932259,45.78698621437126
Image optimization,105,97,49084,467.47,4.03,2.1,29.21,194,26.5,26.87,18.4,28.87345593775594,95.36240081087286,17.79028417786507,71.07369583218326,14.936462745642665,70.48224695283518,75.47531554561432,46.494618102173774
Event-based,95,79,49251,518.43,4.2,3.84,13.89,167,26.95,24.89,20.23,31.291940861383615,96.42891142557946,20.960111018781976,92.21639525255313,15.248941045760715,73.97986221515633,72.55152580284391,50.136339787237624
Mix-and-match bundles,79,77,38982,493.44,4.18,1.62,32.62,149,29.0,20.63,23.1,28.53932785057627,97.07352175300858,13.172568736238066,66.36765111785813,16.672453301854038,81.50503444621091,67.96612877456462,45.7952413285961
Print on demand (POD),264,256,53347,202.07,2.59,4.29,56.15,108,39.45,66.77,18.41,17.067309815740543,83.44450168838515,53.22410517686624,33.89456251725089,23.928893826817585,0.0,75.45933855248443,42.35230608035735
Multi-language,837,684,247242,295.39,4.21,1.69,32.92,1665,29.0,23.92,4.03,51.267270966252596,46.23994108851842,12.859768841437317,65.95362958873861,16.672453301854038,75.69334039922275,98.43425467327049,42.43937043533093
Variants display,95,89,29067,305.97,4.1,2.86,27.0,177,19.9,22.84,13.54,18.21198285984351,96.03271491210877,19.25565935587844,74.12365443003036,10.353447677244636,77.601130542307,83.2401342067423,44.61811640060051
Descriptions,99,96,6055,61.16,3.12,3.4,23.32,202,19.99,23.48,32.19,3.178141538062871,95.61403459649554,39.873593029990175,79.20231852056307,10.415943337268246,76.47058823529412,53.44304201949194,43.870365775198714
Discount codes,257,241,62050,241.44,3.76,2.48,17.62,440,29.0,24.57,13.29,20.254301469995276,84.28614628191272,24.321450854324222,87.06872757383384,16.672453301854038,74.54513336866279,83.63955903498962,45.902070167590324
Emojis and stickers,75,72,10480,139.73,3.65,2.13,31.2,157,59.0,21.67,20.69,7.5478580249323075,97.41296276592766,25.12499405456372,68.32735302235716,37.504339976390526,79.66790319731496,71.81658411886883,46.427166534834846
Click-through rates,225,208,75114,333.84,4.17,3.68,27.69,422,49.0,25.13,13.09,26.60194868725479,86.72433682583593,20.941785085768167,73.17140491305548,30.560377751545033,73.5559088500265,83.95909889758747,47.96065909555252
Historical data import,56,47,10658,190.32,4.41,1.57,16.73,131,39.0,15.48,25.85,9.950661408986292,99.07483214147715,8.61598636886326,88.29699144355506,23.616415526699537,90.6023670729553,63.57245566384406,44.10673166451506
Email campaigns,136,126,76158,559.99,3.36,2.11,17.47,233,32.0,28.31,13.08,37.3812671314563,93.11802456138386,30.564718522062464,87.2757383383936,18.75564196930769,67.93852676205617,83.97507589071736,53.21846566142752
Delivery date,100,76,7783,77.83,3.88,3.05,36.76,166,25.0,20.75,12.3,4.22661421563149,96.37109193439099,24.137212275857056,60.65415401600883,13.894868411915839,81.293057763646,85.22128135484903,41.6336770152705
Email pop-ups,110,104,51157,465.06,4.28,0.97,15.97,201,29.9,22.68,19.47,29.07909206152208,94.9083848062137,8.879963739833297,89.34584598399117,17.29740990209013,77.88376611906024,73.76577728071577,47.139115978291365
Pricing pages,54,53,28521,528.17,3.93,0.96,39.2,85,19.99,30.65,34.9,28.56131258392353,98.90778561148662,15.497164376624498,57.28677891250344,10.415943337268246,63.80498145204028,49.11327688129094,42.95830045211025
Helpdesk,83,82,6491,78.2,3.11,4.11,38.21,165,49.99,15.58,28.67,4.045297025470218,96.7340807400895,42.67592196230174,58.65304995859784,31.24783001180474,90.42571983748454,59.06694360121425,46.920437466411244
JSON-LD,55,53,54972,999.49,4.47,1.49,23.6,99,19.99,22.9,17.99,54.75969132603116,98.87244992244068,7.1809678890483735,78.81589842671818,10.415943337268246,77.49514220102455,76.13037226393993,52.02586346031588
Editor tool,411,353,182003,442.83,3.9,1.7,23.56,655,25.0,27.24,5.47,48.15745977040872,74.40704921796689,18.79009672175638,78.87110129726746,13.894868411915839,69.82865218159336,96.13356766256591,48.94824551426891
Content optimization,124,112,44407,358.12,4.23,1.95,33.42,218,19.99,28.01,20.34,23.01972519259492,94.09672794879405,13.436126429352825,65.26359370687275,10.415943337268246,68.46846846846846,72.37577887841509,42.392465412399794
Notifications,78,77,7437,95.35,3.58,1.8,35.57,151,49.0,21.83,22.54,4.996047918716112,97.1088574420545,25.241664498331076,62.29643941484957,30.560377751545033,79.38526762056173,68.86084038983864,43.945122372492875
GDPR compliance,92,87,11202,121.76,3.56,0.99,46.15,180,49.99,19.75,18.99,6.815117986175143,96.21796128194072,22.641760184882088,47.69528015456803,31.24783001180474,83.05953011835365,74.53267295095063,42.81203646060107
Drag-and-drop editor,192,176,59594,310.39,4.28,1.49,42.22,360,25.0,24.53,16.7,23.114120023178558,89.15824340745802,10.793135189428588,53.11896218603367,13.894868411915839,74.61579226285109,78.19140437769613,40.80529203759007
UGC,140,125,54100,386.43,4.24,1.5,38.42,246,29.99,26.19,17.68,25.839647015378887,93.01630145654718,11.590383221838914,58.36323488821418,17.35990556211374,71.68344815403638,76.62565905096662,43.23701337291057
Promotional,76,70,22696,298.63,3.54,1.01,16.66,95,9.99,28.68,43.14,16.887571660433444,97.45686637957587,23.095571839056337,88.39359646701628,3.4719811124227484,67.28493199081434,35.948234542259144,42.85419569905352
Ad spend,65,62,35963,553.28,3.66,5.4,16.76,108,49.48,26.85,27.34,30.884809623827742,98.16251616985771,36.96578506338535,88.25558929064312,30.893687938337617,70.51757639992934,61.19188368749002,54.791947776791474
Fields,55,45,8511,154.75,4.02,1.47,30.77,100,15.0,27.34,17.41,7.9503121665560545,99.18940713321723,15.66251745160416,68.9207838807618,6.950906187070342,69.65200494612259,77.05703786547372,40.22812941531985
Customers,75,65,11897,158.63,4.09,2.35,20.32,146,34.0,24.1,23.16,8.65321213255388,97.69030032535713,17.569393733370266,83.34253381175822,20.144434414276784,75.37537537537537,67.87026681578527,43.73344249775931
Multi-store,166,149,25842,155.67,3.97,2.45,24.21,352,49.0,18.58,10.66,10.658760126610254,91.1467019090232,20.218680141123674,77.97405465084184,30.560377751545033,85.1263027733616,87.84150822815147,45.96761911957353
Cross-sell bundles,86,83,41668,484.51,4.17,1.44,32.91,150,24.99,22.56,21.61,28.533090717997823,96.5884540216046,12.70043114904999,65.96743030637595,13.887924449690994,78.09574280162516,70.34670075091867,45.093103589348814
Styling,92,77,28321,307.84,3.84,0.93,16.56,97,6.99,30.56,35.18,18.18506413522338,96.61415779541139,17.0978157166559,88.53160364338946,1.3887924449690994,63.96396396396396,48.66592107365394,41.981634219184514
FAQs,200,194,48212,241.06,3.68,1.79,35.68,392,41.45,23.22,20.64,18.1083803553872,88.1624041708433,23.30373205527437,62.144631520839084,25.317686271786684,76.9298710475181,71.89646908451829,44.273755433524066
Holiday gifts,57,56,47036,825.19,3.83,3.64,55.44,49,30.0,49.48,20.88,45.35507822390787,98.6829195903076,27.258496378180112,34.87441346950041,17.366849524338587,30.542307012895265,71.51302124940086,47.722287938390146
Retail,69,62,1921,27.84,3.09,10.62,25.56,90,27.0,21.55,24.15,0.977868966905856,98.02117341367396,67.00758497777106,76.11095776980403,15.283660856884937,79.87987987987988,66.28854449592586,50.462285044318904
Currency conversion,61,59,36334,595.64,4.39,1.43,28.73,111,19.99,20.71,26.95,32.930857759093094,98.42271788008264,8.481129884700511,71.7361302787745,10.415943337268246,81.3637166578343,61.814986419555844,45.5084236750671
Dimension-based,63,55,4835,76.75,3.65,2.9,40.12,79,29.0,29.57,19.79,3.7225448109763892,98.51052510737905,27.95795947031059,56.017112889870276,16.672453301854038,65.71277159512454,73.2545135005592,41.27527665733135
Triggers,73,72,15588,213.53,3.96,2.03,16.85,115,29.99,30.0,23.38,11.798636639525476,97.48363414401953,18.86354034643008,88.13138283190726,17.35990556211374,64.95318848260024,67.51877296692763,44.259816247955484
Cross-sell emails,85,80,54947,646.44,3.52,2.25,10.57,144,49.0,29.19,18.12,38.178550152181685,96.74264866469176,28.03797804805032,96.79823350814242,30.560377751545033,66.38403108991344,75.92267135325132,55.879978016298075
Email alerts,82,64,9712,118.44,3.8,3.92,25.23,165,60.0,16.42,20.07,6.430089130769604,97.48257015338265,28.85900782559308,76.5663814518355,38.198736198875075,88.94188305953011,72.80715769292219,48.34973849112497
Customer-based,70,60,5346,76.37,4.0,3.31,37.36,88,20.0,29.13,17.9,3.7832862826033176,98.06507702732216,22.81242917936192,59.8261109577698,10.422887299493091,66.4900194311959,76.27416520210897,39.805576234353836
Funnel analysis,120,112,11979,99.83,3.4,2.35,51.61,230,70.0,16.04,22.84,5.904896192865999,94.23807070497779,30.687264455803724,40.16008832459288,45.14269842372058,89.61314255431903,68.38153059594185,45.14843833390322
Multi-location,200,179,24008,120.04,3.86,2.67,27.18,355,25.0,24.15,8.66,8.703728352790575,88.75669894104931,23.119353584188783,73.87524151255866,13.894868411915839,75.28705175764,91.03690685413005,42.339094936877004
Bundles,129,124,58795,455.78,4.35,1.48,43.05,242,29.99,24.14,16.93,29.817964723218058,93.44461368739955,9.425544951695084,51.97350262213635,17.35990556211374,75.30471648118707,77.82393353570859,43.48629150599891
